,异常类型,异常类型细项,问题现象,故障组件,形成原因,形成原因细类,原因分析,故障处理过程
233,信息系统运行异常,不影响用户使用但系统有告警,"1月5日08:25至08:40、11:00至11:20，国网信通调度监控发现农电管理系统IMS健康运行时长及在线用户数指标中断，URL探测正常。
",主机,运行维护不当,内存配置不合理,农电管理服务节点2因JVM配置问题内存溢出，且负载均衡设备因分发策略配置问题未能及时发现节点2故障进行切换。,调度重启故障应用节点后，指标恢复正常。
234,信息系统运行异常,系统部分功能非计划不可用,4月20日21:50，国网信通调度接到技术保障中心申告，国网河南省电力公司2016年第一批协议库存招标采购评标过程中行报价报表无法生成。运检中心正组织项目组编制检修方案，计划21日通过检修进行消缺,应用软件,软件设计缺陷,代码逻辑缺陷,河南公司将投标信息整体导出，因系统内存不足，无法一次性导出。,对投标文件分包后，逐次导出成功。
235,信息系统运行异常,系统部分功能非计划不可用,2月2日11:17，国网信通调度接用户申告，在使用“国网研究决策支持系统”下发2016年管理咨询计划时失败。,数据库软件,运行维护不当,用户操作不当,用户操作流程不正确导致数据库中某状态字段异常,通过二级检修修改异常
236,信息系统运行异常,不影响用户使用但系统有告警,7月11日自08:30开始，国网信通调度监控发现国网安监一体化系统多个节点无法访问。8:32，验证发现系统无法登录。9:30经运检中心重启应用节点后，业务恢复但登陆缓慢，部分节点仍间歇性中断。,数据库软件,软件设计缺陷,SQL语句不合理,经排查，系统存在执行全表扫描的sql语句，数据库IO负载较高，sotower底层平台运行缓慢。为及时恢复业务，运检中心对数据库进行参数优化。18:00待业务量下降后，功能使用正常。运检中心已组织项目组对sotower平台及sql语句进行深入排查。,重启服务后，IMS指标恢复正常。
237,信息系统运行异常,部分用户非计划不可用,3月10日16:15，国网信通调度监控发现安监一体化系统IMS健康运行时长及在线用户数指标缺失，URL探测正常，同时接到项目组申告，系统无法正常登录。,未查清,运行维护不当,0,16:40，经对锁定的数据库账号进行解锁后，系统监控指标恢复正常，经项目组验证，系统登录恢复正常。（运检中心目前无法查明用户账号被锁原因）,0
238,信息系统运行异常,信息系统侧IMS接口非计划不可用,"2月3日7:35-8:10，国网信通调度监控发现中兴财务管控IMS健康运行时长及在线用户数指标缺失，URL探测正常。
",主机,运行维护不当,内存配置不合理,由于系统启动时将启动时间数据存在缓存中，且缓存设置较小，故障发生时财务管控调用一二级数据交换、实时监督、数据集成等调度任务导致数据量超过了缓存限制，按照队列机制导致系统启动时间数据被移出缓存，IMS接口无法正常计算数据。,。已通过2月3日紧急抢修完成消缺。
239,信息系统运行异常,网络非计划停运,2月6日18：30至19：15国网山西电力所有系统IMS健康运行时长及在线用户数指标缺失，URL探测异常。,网络,软件设计缺陷,网络,内网边界防火墙软件存在bug，长时间运行后出现假死,重启
240,信息系统运行异常,信息系统侧IMS接口非计划不可用,1月25日17:40-18:50，国网重庆电力财务管控系统健康运行时长指标中断，在线用户数指标和URL探测正常。,主机,运行维护不当,内存配置不合理,经查，原因为1月22日国网总部统一下发财务管控系统检修，检修升级包将健康运行时长指标的获取方式更改为：按时将值存入缓存中，更新时从缓存中读取，但由于缓存值设置过小，在系统运行3天后（25日）缓存满，导致指标中断。,修改指标获取方式后指标恢复。
241,信息系统运行异常,网络非计划停运,"8月31日19:55-23:55, 国网信通调度监控发现国网鲁能集团IMS企业门户系统监控状态异常。期间，系统健康运行时长及在线用户数缺失，URL探测正常。",网络,设备日常损坏,交换机,期间，系统IMS健康运行时长及在线用户数指标缺失，URL探测正常。经查，故障原因为经排查，发现目录系统认证树管理服务器呈“假死”状态（即该服务器网络畅通、服务运行状态正常），导致指标数据表面正常发送，实际发送数据为“空”，从而影响企业门户系统IMS探测指标正常获取准确数据。企业门户系统和目录系统涉及的业务系统中的服务器均为HP或DELL等厂商的X86服务器，服务器上线时间为2010年，至今运行时间已达7年，设备老化，进入故障高发期。,
242,信息系统运行异常,不影响用户使用但系统有告警,9月28日14:00，国网信通调度监控发现总部一体化电量与线损管理系统IMS健康运行时长及在线用户数指标中断，URL探测指标正常。14:30，经调度重启应用节点后，系统指标恢复正常。,应用软件,运行维护不当,原因不清,通过一体化电量与线损系统、IMS系统、统一权限系统共同排查分析，目前无法准确定位具体原因。但是根据IMS系统的错误日志，可以初步定位是一体化电量与线损管理系统在反馈IMS指标超时导致，进而导致IMS指标出现异常。但是由于一体化电量与线损管理系统和统一权限接口日志记录不全，无法定位具体反馈超时的原因。,
243,信息系统运行异常,不影响用户使用但系统有告警,1月26日17:50，国网信通调度监控发现总部数字档案管理系统IMS健康运行时长指标缺失，在线用户数及URL探测指标正常。18:20，指标恢复正常。初步判断原因为开展该系统二级检修过程中，重启单个节点，导致指标意外中断。,应用软件,运行维护不当,时钟配置不合理,两台应用服务器时钟未同步，造成健康运行时长指标计算异常,配置NTP服务，同步两台应用服务器时间
244,信息系统运行异常,系统部分功能非计划不可用,3月10日10:30，国网信通调度接网络大学运管中心申告，浙江公司网大管理员端学员档案模块导出学员信息时报504错误。13:05，运检中心反馈完成网大管理端异常的12节点重启，16:40，经与网大运管中心验证系统恢复正常,主机,运行维护不当,内存溢出,网络大学管理员对学员信息进行导出时，会一次性把所有学员信息写入到Excel文件，学员信息较多，按目前机制，会将学员信息多次拷贝，内存消耗较大，导致节点内存溢出，虚拟机堆内存溢出，抛出异常错误。,重启节点，释放内存资源后，系统恢复正常。
245,信息系统监控接口异常,信息系统侧IMS接口非计划不可用,"2月23日12:05-12:45，国网安徽电力TMS系统监控状态异常。
",数据库软件,运行维护不当,线程满,故障原因为历史告警表的数据量比较大，且实时告警数据的入库方式不合理，造成数据库响应缓慢,重启数据库及TMS服务以后，指标恢复正常。
246,信息系统运行异常,系统部分功能非计划不可用,6月14日17:15，国网信通调度监控发现IDS系统附件无法正常下载，17:42，运检中心重启非结构化应用节点,应用软件,运行维护不当,进程异常,由于业务系统访问量大，全文检索服务同步索引数据失败未能及时反馈业务数据，导致大量数据源连接池资源不能及时释，数据库连接池满。,重启非结构化数据管理平台应用节点后，系统恢复正常。
247,信息系统监控接口异常,系统部分功能非计划不可用,1月19日05:50-06:05，国网福建电力PMS2.0、营销稽查、MDS、统一权限、数据管理服务平台、电力交易运营系统、营销稽查系统监控状态异常。期间，健康运行时长及在线用户数指标正常，URL探测异常。,主机,运行维护不当,内存配置不合理,期间，系统健康运行时长及在线用户数指标正常，URL探测异常。经查，原因为，由于服务内存不足导致目录中IDS novell-jcc服务运行异常，从而引起目录系统代理服务无法正常解析福建统一权限的域名URL，最终导致IMS上监控的统一权限、资产全寿命、营销稽查、数据管理、PMS2.0、计量资产、交易运营系统URL探测异常。,0
248,信息系统运行异常,不影响用户使用但系统有告警,"7月15日19:25-21:45，国网福建电力大数据系统监控状态异常。

",数据库软件,软件设计缺陷,代码逻辑缺陷,期间。系统健康运行时长及在线用户数指标缺失，URL探测正常。经查，故障原因为I6000获取大数据平台相关指标参数是通过大数据平台与统一权限集成实现的，大数据平台与统一权限集成，集成方式为：基于总部统一下发的jar包，修改配置文件，配置成福建本地环境。统一权限项目组按照国网要求进行升级后，大数据平台沿用未调整的原统一权限集成接口，I6000通过该接口获取大数据平台指标，获取指标异常。获取异常时，I6000将会返回调用服务超时。多次刷新大数据平台缓存后，指标恢复正常。后续将通过7月20日提供消缺包测试，计划于8月6日通过检修消缺。,0
249,信息系统运行异常,不影响用户使用但系统有告警,"3月6日01:00-02:05,国网浙江电力公司财务管控系统状态异常。期间，系统URL探测异常，健康运行时长及在线用户数指标正常。",主机,运行维护不当,线程满,经查，6日浙江公司进行财务季度决算，同时财务管控系统配合ERP进行业务调整，业务数据量过大，同时按照备份策略，6日零时开始数据库全备份，多项工作同时进行导致数据库响应迟滞，页面打开缓慢，引起页面探测超时。备份结束后，指标恢复正常。 ,系统备份完成，自动恢复。
250,信息系统运行异常,网络非计划停运,"2月21日11:20-15:50，国网西藏电力计量资产系统监控状态异常。
",网络,设备日常损坏,通信板卡,"期间，系统健康运行时长及在线用户数指标中断，URL探测异常。经查，计量资产系统网络交换机光模块出现故障网络不通，导致指标异常，更换光模块后，系统恢复正常运行，故障排除。
",更换光模块
251,信息系统监控接口异常,不影响用户使用但系统有告警,8月1日0:00-1:20，国网信调发现国网上海电力外网网站系统I6000监控异常。期间，系统健康运行时长指标中断，URL探测异常，经验证，系统可访问。,中间件,运行维护不当,线程满,期间，系统健康运行时长指标中断，URL探测异常，经验证，系统可访问。经查故障原因为00:00-01:20、06:25-06:45，I6000系统收到大量的外网Beta接口发送的指标，导致总线上IMS.RawPerf队列数据堆积。导致指标发送异常。Beta接口突然发送大量指标的原因是：接口程序本身卡顿导致指标未及时发送，下一次将未发送的指标一起发送，从而导致数据量突然增大。,
252,信息系统运行异常,不影响用户使用但系统有告警,5月17日22:10，国网信通调度监控发现高培、交流、直流、运行公司财务管控URL探测异常，IMS健康运行时长及在线用户数指标正常。,中间件,运行维护不当,license访问限制,由于weblogic当时使用的是非正式license，IMS监控URL指标在探测时，超出IP访问个数限制，所以出现URL探测中断。,调控中心重启节点服务，释放了所有已访问的连接，URL探测指标恢复正常。
253,信息系统运行异常,不影响用户使用但系统有告警,8月1日12:35，国网信通调度监控发现总部营销辅助决策、人资辅助决策、综合查询IAS系统IMS健康运行时长及在线用户数指标中断，URL探测正常。13:20，经运检中心应急处置后，系统指标恢复正常。,数据库软件,运行维护不当,归档空间满,归档日志目录空间不足，导致归档日志无法写入到磁盘，数据库无法执行写操作，导致指标中断。,手动清理归档日志后，系统恢复正常。
254,信息系统运行异常,系统部分功能非计划不可用,7月9日21:00-22:20，国网中电装备协同办公系统监控状态异常。期间，系统健康运行时长及在线人数指标异常，URL探测正常。,基础环境,操作不当等问题,检修操作不当,经查，由于自建机房的空调维修人员误操作导致部署统一用户服务和IMS报送服务的服务器关机，影响了系统指标，启动服务器及相关服务后，指标恢复。,
255,信息系统运行异常,不影响用户使用但系统有告警,7月25日09:10-09:30，安徽电力凭证协同系统监控状态异常。期间，URL探测异常，健康运行时长及在线用户数指标正常,数据库软件,运行维护不当,原因不详细,故障原因为该服务器运行近2年，需要对系统文件进行备份，为年度恢复演练进行工作准备，在服务器端进行点对点的拷贝工作。由于数据库及部分SAP应用数据在共享存储上，在进行大数据量拷贝的过程中，造成业务访问异常。当文件拷贝进程结束后，I6000系统中凭证协同URL探测指标自动恢复正常。,0
256,信息系统运行异常,系统部分功能非计划不可用,2月1日11:15，国网信通调度接到7186申告，甘肃、福建、北京、吉林公司部分用户使用协同办公发送公文，提示“查询路径异常”错误。16:10，经运检中心重启应用节点，并与7186验证后，系统恢复正常。,中间件,软件设计缺陷,程序包缺陷,1月27日协同办公系统开展了JAVA反序列化漏洞整改检修，此检修补丁包在更新过程中影响了中间件JDBC驱动程序的加载及生效顺序和Clob字段转换相关设置，影响到Clob字段的转换，导致流程引擎一区部分应用服务节点报出Clob字段转换错误，部分用户使用协同办公系统发送公文失败。,修改Weblogic中间件的数据源配置，屏蔽补丁升级后Weblogic自带的“包装数据类型”功能，Clob字段转换正常，系统使用恢复正常。
257,信息系统运行异常,信息系统侧IMS接口非计划不可用,"3月29日10:55-11:15，国网鲁能集团财务管控系统监控异常。
",数据库软件,运行维护不当,cpu负载高,经查，财务管控月结业务量大，导致系统应用节点负载过大，IMS指标取数异常。手动重启应用节点后，系统指标恢复正常,手动重启应用节点
258,信息系统运行异常,不影响用户使用但系统有告警,"1月4日13:15，国网信通调度监控发现总部营销基础数据平台IMS健康运行时长及在线用户数指标中断，URL探测正常。
",应用软件,运行维护不当,应用节点配置不合理,故障原因为系统“数据量核查”定时任务的时间窗口设置不合理，导致任务剧增，造成应用线程连接超时,指标自动恢复。
259,信息系统运行异常,信息系统侧IMS接口非计划不可用,3月28日04:45-05:45，国网信通调度监控发现国网龙江电力外网网站系统IMS健康运行时长中断，URL探测正常。,安全,运行维护不当,内存溢出,经查，由于安全隔离装置内存溢出，无法正常工作，IMS系统无法通过安全隔离装置与外网网站接口文件通信，导致IMS监控数据异常。重启安全隔离装置硬件设备后，各项指标恢复正常。,重启安全隔离装置硬件设备
260,信息系统运行异常,网络非计划停运,1月10日14:00-22:00，国网江西电力MDS系统运行状态异常。期间，健康时长及在线用户数指标中断，URL探测异常，系统停运，具体情况正在核查。,网络,运行维护不当,运营商网络问题,故障原因为此系统单独部署在江西电科院，地铁施工造成光缆中断，导致系统无法访问。,光缆修复后，监控状态恢复正常。
261,信息系统运行异常,网络非计划停运,"9月11日01:30-02:15，03:10-04:05, 国网信通调度监控发现国网江西公司所有系统健康运行时长及在线用户数指标中断，URL探测异常。经验证被监控系统可以正常访问。",网络,运行维护不当,检修操作不当,经查，故障原因为9月9日开展省网数据通信网区域融合、CE设备下沉检修后，未重启核心交换机更新路由表策略，导致路由转发异常，出现上述监控指标异常。,0
262,信息系统运行异常,系统非计划停运,"3月6日7:55-9:05，中国电科院协同办公系统监控状态异常。
",基础环境,设备日常损坏,电源模块故障,经查，为IMS接口所在服务器电源故障，导致服务器宕机，更换电源后接口服务器恢复正常。,更换电源模块
263,信息系统运行异常,不影响用户使用但系统有告警,"3月24日10:00起，国网信通调度监控发现电子商务平台IMS健康运行时长与在线用户数指标间歇性缺失，URL探测正常。
",数据库软件,运行维护不当,cpu负载高,"经查，故障原因为电子商务平台更新数据的SQL语句执行造成数据库集群等待时间过长和IO读写频率过高，语句单次执行时间超时，导致指标中断。计划在后续版本升级的检修中，对语句问题进行修复。
",0
264,信息系统运行异常,系统部分功能非计划不可用,6月19日15:45-21:00，国网信通调度监控发现国网英大证券协同办公系统监控状态异常。期间，协同办公系统健康运行时长指标及在线用户数指标中断，URL探测正常。,主机,设备日常损坏,原因不详细,"经查，故障原因为IMS接口服务部署在10.1.70.72服务器上，各单位通过自己单独部署的IMS接口服务从本地协同办公系统提取数据,72服务器因硬件故障，宕机导致IMS服务停止，从而导致协同办公系统IMS指标监控异常。故障期间，流程引擎和统一用户服务异常，其他服务正常，系统未停运。故障发生在周末休息期间，未影响业务的正常使用。",
265,信息系统监控接口异常,信息系统侧IMS接口非计划不可用,1月1日00:05-00:15，国网天津、吉林、宁夏电力，00:05-01:40，国网湖北电力，00:05-09:20，国网北京电力，00:05-09:45，国网蒙东电力，02:10-10:10，国网浙江电力营销稽查系统监控状态异常。,主机,软件设计缺陷,代码逻辑缺陷,"IMS需要从营销稽查监控系统调取日和月的业务指标, 但该系统应用程序日期逻辑判断错误（1.303版本存在该问题）,使得相关指标无法正常提供给IMS系统",各网省更新总部紧急发布的补丁包后，指标恢复正常。
266,信息系统运行异常,不影响用户使用但系统有告警,5月13日3:15，国网信通调度监控发现非结构化系统IMS健康运行时长及在线用户数指标正常，URL探测异常。3:50，经调度重启异常节点后，指标恢复正常。,应用软件,运行维护不当,线程满,非结构化数据管理平台纵向交换业务突增，并且异常集中，大量网省向总部纵向交换任务导致系统运行缓慢，应用产生粘滞线程，线程被长时间占用，无法及时释放，导致IMS URL探测中断。,调度重启非结构化数据管理平台异常应用节点。
267,信息系统运行异常,系统部分功能非计划不可用,"1月7日14:30，国网信通调度监控发现企信管理、督查工具分析、集体企业、营销数据平台、ICS、电量与线损、安全风险、统一项目储备库、凭证协同等16个系统F5页面无法打开，系统各单节点运行均正常。
",网络,软件设计缺陷,网络,深信服负载均衡设备软件版本存在BUG，设备长时间运行后ad_appd服务频繁重启，造成CPU使用波动大，故障时主备负载均衡设备均接近100%。因主用负载均衡设备网络可达、接口未中断，故未进行主备自动切换，手动切换至备用负载均衡设备后，访问仍未恢复。,重启原主用负载均衡设备后，系统虚地址页面访问恢复正常。
268,信息系统运行异常,信息系统侧IMS接口非计划不可用,3月22日6:40-8:05，国网龙江电力财务管控系统监控状态异常。期间，系统健康运行时长与在线用户数指标正常，URL探测中断。,主机,运行维护不当,内存溢出,经查故障原因为I6000系统访问财务管控的探测时间间隔为10秒每次，原IMS探测为5分钟每次，过于频繁的访问造成内存溢出。增加内存恢复。,增加内存恢复。
269,信息系统运行异常,系统非计划停运,1月30日1：30-15:55，国网蒙东电力云终端系统关停。,基础环境,设备日常损坏,不可抗力,因蒙西桥保线路被大风刮断，蒙东阳光苑机房属于租用蒙西链路，所以蒙东阳光苑机房停电,15：55分机房供电正常，系统指标恢复正常。
270,信息系统监控接口异常,不影响用户使用但系统有告警,"9月17日23:55，国网信通调度监控发现直属单位ERP的IMS健康运行时长及在线用户数指标中断。
",应用软件,运行维护不当,文件路径配置不合理,故障的几家单位的ERP取数接口配置中缓存文件配置错误，同时向中国电科院ERP系统取数，导致中国电科院ERP系统负载过高，无法获取运行指标。,中国电科院ERP系统负载降低后，几家单位的ERP系统运行指标恢复正常。
271,信息系统运行异常,不影响用户使用但系统有告警,4月5日13:15-13:35，国网河南电力统一监控系统监控状态异常。期间，系统健康运行时长指标中断，URL探测指标正常。,数据库软件,运行维护不当,cpu负载高,经查，统一监控系统数据库为单机部署，厂商对系统导入用户终端信息，短时数据量过大造成数据库进程与数据文件出现I/O堵塞，导致数据库进程挂起一直在等待。,重启后，系统恢复正常。
272,信息系统监控接口异常,信息系统监控指标短时中断,1月4日13:20-14:00，国网华北分部TMS系统监控状态异常。期间，健康运行时长及在线用户数指标异常，URL探测异常。,主机,运行维护不当,内存溢出,MS数据总线会话连接数累积过多，内存空间耗尽，导致监控状态异常。,通过手动重启该节点上的总线服务后，监控状态恢复正常。
273,信息系统监控接口异常,不影响用户使用但系统有告警,7月3日00:25-03:20，国网信通调度监控发现I6000国网龙江电力PMS2.0系统监控状态异常。期间，系统URL探测异常，健康运行时长及在线用户数指标正常。,数据库软件,运行维护不当,数据库表空间满,"经查，由于I6000主页探测配置为PMS2.0进行迁移前的老地址,老地址已经作为测试环境使用，测试环境由于数据库表空间不足，导致测试环境宕机无法访问，引起I6000探测指标出现异常。",
274,信息系统监控接口异常,业务应用级联贯通不可用,"3月18日17:45-18:05，国网冀北电力外网网站系统监控状态异常。
",安全,运行维护不当,线程满,经查，由于强隔离装置存在连接数建立后无法释放的问题，需要定期进行重启清理。外网移动交互平台上线后，系统存在BUG，会不断创建新的连接且不释放已有会话，导致隔离装置连接资源被不断耗尽，导致指标异常，隔离装置后台连接数清理完成后，系统指标恢复正常。,清理隔离装置后台连接数
275,信息系统运行异常,系统部分功能非计划不可用,18日17:41，国网信通调度接到客服中心申告，所有用户拨打客服中心电话7186无法接通，18:29，重启报表服务器及服务后，经与7186验证系统恢复正常，,主机,运行维护不当,内存溢出,报表服务器1（主用服务器）部署Java进程服务较多，大量内存及SWAP空间被占用，造成服务器夯死，同时由于语音导航流程（IVR）调用的报表服务器WebService模块的地址只配置了报表服务器1的地址，未配置F5地址，导致IVR程序调用报表服务器WebService模块异常，无法流转至下一模块，用户使用语音导航功能异常。,重启报表服务器1及服务后，系统恢复正常。
276,信息系统运行异常,不影响用户使用但系统有告警,8月10日21:35-23:05，国网西藏电力所有系统IMS监控状态异常。期间，所有系统健康运行时长及在线用户数指标缺失，URL探测异常，,主机,运行维护不当,内存溢出,经查故障原因为系统长期运行，后台并行连接数超过内核阀值，部分进程僵死，导致操作系统无响应。,
277,信息系统运行异常,系统部分功能非计划不可用,"6月6日15:10，国网信通调度监控发现一级部署协同办公系统多个domino节点告警，同时接重庆、甘肃调度申告一级部署协同办公运行缓慢。
",应用软件,运行维护不当,线程满,"经排查，故障原因仍为部分单位solr节点异常，导致search服务线程排队堵塞，最终导致domino服务请求search服务因响应时间过长导致服务异常。本次故障排查发现是由于甘肃（每小时写:50010条，读:13552条）solr文件写入更新操作数量较大，solr自动修复功能不能满足当前业务需要，数据分发时导致甘肃solr分片节点服务出现大量的不同步数据,服务节点状态出现异常。根据前段时间诊断分析，后续需对solr及search服务进行优化，降低solr运行压力。",
278,信息系统运行异常,系统部分功能非计划不可用,1月14日8:55，国网信通调度接到业务运维申告，福建、甘肃、吉林、天津部分用户无法单点登录协同办公系统；福建、浙江、江西、蒙东、甘肃、安徽公司登录协同办公系统后，电子公告会议视图加载较慢。15:20，运检中心重启数据库服务器后，经业务运维验证，系统恢复正常,应用软件,运行维护不当,检修操作不当,"甘肃2个Solr服务节点挂起，造成甘肃公司Search服务进程停滞，同时各区域Search进程堆积，全网用户访问系统受到影响。
甘肃Solr节点故障原因为公文自动归档任务量大，造成甘肃Solr节点服务出现碎片，进而导致Solr服务节点异常。",重启Search服务、Solr服务等操作后，系统恢复正常。
279,信息系统运行异常,不影响用户使用但系统有告警,6月27日5:40，国网西北分部财务管控系统指标监控状态异常。期间，系统健康运行时长指标及在线用户数指标缺失，URL探测正常。,操作系统和集群,运行维护不当,原因不详细,经查，故障原因为财务管控系统集中平台配置错误，导致集群未能切换故障节点，IMS指标数据取数失败。重启故障节点后，指标恢复正常。,
280,信息系统运行异常,不影响用户使用但系统有告警,7月6日05:05，国网信通调度监控发现数据交换系统IMS监控URL探测异常，健康运行时长及在线用户数探测正常。05:30，经调控中心重启所有应用节点后，系统恢复正常。,数据库软件,软件设计缺陷原因,SQL语句不合理,运监系统其中一张表及索引过大，导致SQL语句执行时间超长，造成请求weblogic反应时间超出默认值，从而引起资源排队请求的问题，导致业务调用缓慢，进而导致F5地址访问异常。,逐个重启应用节点后，告警恢复，系统恢复正常。
281,信息系统运行异常,系统部分功能非计划不可用,4月15日19:09，国网信通调度监控发现95598基础支撑平台1号查询数据库无法ping通。该故障造成北京、蒙东、山东、天津、西藏、福建、宁夏和河南8个网省的停电信息无法及时同步，经查，初步判断故障原因为数据库服务器主板故障。2:28，运维人员更换主板并重启服务器后，系统恢复正常。期间，历史停电信息查询及其他95598主业务不受影响。,数据库软件,设备日常损坏,电源模块故障,小机背板电源故障。,完成备件更换，重启小机操作系统正常。数据库重启完成。
282,信息系统运行异常,网络非计划停运,3月15日18:10-19:00，国网信通调度监控发现国网北京电力营销基础数据平台监控状态异常。期间，系统在线用户数与健康运行时长指标中断，URL探测指标正常。,网络,运行维护不当,原因不详细,经查，数据库服务器与存储间光纤链路异常引起服务器自动重启，重启时IMS系统无法从基础数据平台获取数据库平均响应时长，导致其他指标也无法正常发送至IMS系统，故出现系统健康运行时长中断现象。重启节点后监控指标恢复正常。,0
283,信息系统运行异常,不影响用户使用但系统有告警,8月11日10:15，国网信通调度监控发现工会班组系统IMS健康运行时长及在线用户数指标中断，URL探测正常。10:45，经调度重启故障节点后，系统监控指标恢复正常。,数据库软件,软件设计缺陷原因,SQL语句不合理,SQL语句执行时间过长，系统数据库连接池被占满，导致IMS取数服务异常和一个应用节点异常；同时，由于F5节点探测为TCP端口方式，未探测出节点异常，IMS指标请求仍被分发至异常节点，导致IMS无法获取指标数据。,经调度重启故障节点后，系统监控指标恢复正常。
284,信息系统运行异常,信息系统侧IMS接口非计划不可用,4月13日0:00，经法一级部署系统IMS健康运行时长及在线用户数指标缺失，URL探测正常。1:30，经运检中心重启IMS控制台服务后，监控指标恢复正常。,主机,运行维护不当,内存配置不合理,经查，故障原因为，该系统IMS接口单节点部署在控制台上，控制台长时间运行导致内存溢出。,0
285,信息系统监控接口异常,不影响用户使用但系统有告警,7月25日11:20-11:40吉林电力营销GIS系统监控状态异常。期间，系统URL探测异常，健康运行时长指标正常。具体原因正在核查。,操作系统和集群,运行维护不当,代码逻辑缺陷,"期间，系统URL探测异常，健康运行时长指标正常。经查故障原因为，由于探测服务器时间比级联服务器时间慢了3分钟，造成数据级联缓慢。
",
286,信息系统运行异常,IMS系统数据接口非计划中断,4月8日9:50-11:30、14:50-16:35国网信通调度监控发现电子商务平台IMS健康运行时长及在线用户数指标间歇性缺失，URL探测正常。,数据库软件,软件设计缺陷,SQL语句不合理,经查，故障原因为数据库sql语句执行效率低，同时网线问题造成网卡速率自适应为百兆，引起心跳网数据传输延时，造成数据库负载过高，导致IMS指标中断。4月9日00:00-06:00期间，通过紧急抢修更换网线后，网卡速率已恢复正常。后续将组织开展代码升级解决数据库语句的问题。,0
287,信息系统运行异常,信息系统侧IMS接口非计划不可用,3月11日10:35-11:05，国网湖北电力应急管理系统监控状态异常。期间，系统在线用户数指标中断，健康运行时长及URL探测正常。,主机,运行维护不当,线程满,经查，故障原因为系统节点3线程数升高，造成IMS后台延迟发送在线用户数指标值，导致在线用户数指标值缺失，手动回收weblogic内存后，指标恢复正常。,手动回收weblogic内存后，指标恢复正常。
288,信息系统运行异常,不影响用户使用但系统有告警,8月5日14:10-15:10，国网福建电力班组门户系统监控异常。期间，系统URL探测异常，健康运行时长及在线用户数指标正常。,数据库软件,运行维护不当,原因不详细,经查故障原因数据库服务报错，导致应用节点异常。重庆后系统指标恢复正常。,0
289,信息系统运行异常,不影响用户使用但系统有告警,9月11日17:40起，国网信通调度监控发现一级部署经法系统IMS健康运行时长及在线用户数指标间歇性中断，URL探测正常。18:10，经运检中心重启应用节点后，系统指标恢复正常。,数据库软件,软件设计缺陷,数据表索引设计不合理,数据库中存在较多对全表扫描的SQL语句，影响数据库性能，导致IMS接口程序在执行取数SQL时，不能在规定时间内返回数据至IMS系统，监控指标出现闪断现象。,重启各应用节点，系统恢复正常。
290,信息系统运行异常,系统部分功能非计划不可用,"4月1日11:30，国网信通调度接到项目组申告外网规划计划登录报500错误。
",网络,软件设计缺陷,程序包缺陷,系统所使用的隔离装置版本存在SQL安全检查模块有缺陷。,通过使用已关闭SQL安全检查功能的隔离装置，系统恢复正常
291,信息系统运行异常,系统部分功能非计划不可用,5月1日12:36，国网信通调度收到企信项目组申告，无法正常登录企信。13:30，企信登录自动恢复正常，但收发信息等部分服务仍不可用。14:19，运检中心重启隔离装置后，经验证，企信业务恢复正常。,安全,运行维护不当,数据库端数据库连接数满,根据驱动日志，隔离装置检测到业务存在BLOB对象引起的并发访问问题，导致业务连接池中的数据库连接失效，而产生频繁重连数据库的需求。另外，数据库建立连接时长超过业务系统的设计承受范围，导致业务无法及时获取足够的数据库连接。,0
292,信息系统监控接口异常,部分用户非计划不可用,12月13日10:05，国网信通调度接7186申告，部分用户无法正常通过企业门户登录安监一体化系统，系统提示“账号或密码不正确”，目前可正常通过网页登录安监一体化系统。,安全,运行维护不当,用户操作不当,初步原因为部分用户在安监一体化系统上修改密码，导致门户与安监一体化系统密码不一致，通过门户登录安监一体化系统时出现密码错误现象。目前已通过客服人员告知用户在门户系统修改其账号密码。15:32，与7186验证后，系统登录恢复正常。,
293,信息系统运行异常,系统部分功能非计划不可用,"4月21日15:44-16:13国网信通调度监控发现，信息运维综合监管系统前端展现服务器ping不通，IMS系统无法登录。经运检中心重启服务器及展现服务后，系统恢复正常。故障原因为服务器内存和电源故障，4月22日08:20完成两条内存和一个电源模块的更换,完成服务器隐患消缺。",应用软件,设备日常损坏,内存故障,第三槽的内存错误导致总部信息运维综合监管（IMS）主机宕机。,通过紧急检修进行内存更换，经调控中心值班人员启动服务后，系统恢复。
294,信息系统运行异常,系统部分功能非计划不可用,4月13日0:00，国网短信平台无法正常发送短信。1:05，运检重启短信平台服务器及相关服务后，系统恢复正常。,数据库软件,运行维护不当,内存溢出,老短信平台系统的数据库服务器内存被占满死机，新短信平台应用程序连接老平台的数据库失败，导致短信功能异常。,重启新平台两台服务器和应用程序后，应用可正常连接数据库，短信功能恢复。
295,信息系统监控接口异常,信息系统侧IMS接口非计划不可用,2月1日1:05-11：00，国网信通调度监控发现国网天津公司营销稽查系统监控状态异常。期间。系统健康运行时长指标异常，在线用户数及URL探测正常，经查原因为当前版本的接口程序时间函数编写不合理，将接口程序升级至V1.303版本后，指标恢复正常。,应用软件,软件设计缺陷,SQL语句不合理,故障原因为旧版本接口程序时间函数存在BUG,将接口程序升级至V1.303版本
